gyro_s003_002 QTI-Gyroscope Non-wakeup,TDK-Invensense,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel2_x[rad/s],ang_vel2_y[rad/s],ang_vel2_z[rad/s]
802488059,3,1741276961886700420,-4.048003E-4,1.4487782E-4,1.107892E-4
802488069,3,1741276961896577659,6.6046324E-4,-9.203857E-4,1.107892E-4
802488079,3,1741276961906458388,-4.048003E-4,1.4487782E-4,0.0011760527
802488089,3,1741276961916349690,6.6046324E-4,1.4487782E-4,0.0011760527
802488099,3,1741276961926245420,-4.048003E-4,0.0012101413,1.107892E-4
802488108,3,1741276961936145732,6.6046324E-4,1.4487782E-4,1.107892E-4
802488118,3,1741276961946051045,6.6046324E-4,0.0012101413,1.107892E-4
802488128,3,1741276961955961670,6.6046324E-4,0.0012101413,1.107892E-4
802488138,3,1741276961965878024,6.6046324E-4,1.4487782E-4,0.0011760527
802488148,3,1741276961975799899,-4.048003E-4,1.4487782E-4,0.0011760527
802488158,3,1741276961985730420,6.6046324E-4,1.4487782E-4,0.0011760527
802488168,3,1741276961995670628,-4.048003E-4,1.4487782E-4,0.0011760527
802488178,3,1741276962005619378,-4.048003E-4,1.4487782E-4,1.107892E-4
802488188,3,1741276962015583388,6.6046324E-4,-9.203857E-4,1.107892E-4
802488198,3,1741276962025555315,-4.048003E-4,1.4487782E-4,1.107892E-4
802488208,3,1741276962035534586,-4.048003E-4,1.4487782E-4,0.0011760527
802488218,3,1741276962045521045,-4.048003E-4,1.4487782E-4,0.0011760527
802488228,3,1741276962055514013,-4.048003E-4,1.4487782E-4,0.0011760527
802488238,3,1741276962065514013,-4.048003E-4,1.4487782E-4,1.107892E-4
802488248,3,1741276962075520888,6.6046324E-4,-9.203857E-4,0.0011760527
802488258,3,1741276962085534795,-4.048003E-4,1.4487782E-4,0.0011760527
802488268,3,1741276962095555315,-4.048003E-4,1.4487782E-4,1.107892E-4
802488278,3,1741276962105582347,-4.048003E-4,1.4487782E-4,1.107892E-4
802488288,3,1741276962115619795,-4.048003E-4,1.4487782E-4,0.0011760527
802488298,3,1741276962125663076,-4.048003E-4,-9.203857E-4,1.107892E-4
802488308,3,1741276962135714690,-4.048003E-4,1.4487782E-4,1.107892E-4
802488318,3,1741276962145772086,6.6046324E-4,1.4487782E-4,0.0022413163
802488328,3,1741276962155835367,-4.048003E-4,1.4487782E-4,0.0011760527
802488338,3,1741276962165905836,-4.048003E-4,1.4487782E-4,0.0011760527
802488348,3,1741276962175985420,6.6046324E-4,1.4487782E-4,0.0011760527
802488358,3,1741276962186072972,6.6046324E-4,1.4487782E-4,0.0011760527
802488368,3,1741276962196166045,-4.048003E-4,0.0012101413,0.0011760527
802488379,3,1741276962206266982,6.6046324E-4,1.4487782E-4,0.0011760527
802488389,3,1741276962216377815,6.6046324E-4,1.4487782E-4,0.0011760527
802488399,3,1741276962226491670,6.6046324E-4,0.0012101413,0.0011760527
802488409,3,1741276962236608284,-4.048003E-4,1.4487782E-4,-9.544743E-4
802488419,3,1741276962246727711,6.6046324E-4,1.4487782E-4,1.107892E-4
802488429,3,1741276962256848857,6.6046324E-4,0.0012101413,1.107892E-4
802488439,3,1741276962266971617,-4.048003E-4,1.4487782E-4,1.107892E-4
802488449,3,1741276962277095680,-4.048003E-4,1.4487782E-4,0.0011760527
802488459,3,1741276962287222190,6.6046324E-4,1.4487782E-4,1.107892E-4
802488470,3,1741276962297350576,6.6046324E-4,1.4487782E-4,1.107892E-4
802488480,3,1741276962307479222,-4.048003E-4,1.4487782E-4,0.0011760527
802488490,3,1741276962317613857,-4.048003E-4,1.4487782E-4,0.0011760527
802488500,3,1741276962327621357,-4.048003E-4,1.4487782E-4,0.0011760527
802488510,3,1741276962337629899,6.6046324E-4,1.4487782E-4,0.0011760527
802488520,3,1741276962347640472,-0.0014700638,0.0012101413,0.0011760527
802488530,3,1741276962357654013,-0.0014700638,1.4487782E-4,0.0011760527
802488540,3,1741276962367669170,6.6046324E-4,0.0012101413,0.0011760527
802488550,3,1741276962377685524,-4.048003E-4,0.0012101413,0.0011760527
802488560,3,1741276962387704222,-0.0014700638,1.4487782E-4,0.0011760527
802488570,3,1741276962397725992,6.6046324E-4,1.4487782E-4,1.107892E-4
802488580,3,1741276962407748701,-4.048003E-4,1.4487782E-4,1.107892E-4
802488590,3,1741276962417778336,-4.048003E-4,1.4487782E-4,1.107892E-4
802488600,3,1741276962427583753,-4.048003E-4,1.4487782E-4,0.0011760527
802488610,3,1741276962437389170,-4.048003E-4,0.0012101413,1.107892E-4
802488619,3,1741276962447194742,6.6046324E-4,1.4487782E-4,0.0011760527
802488629,3,1741276962457002242,-4.048003E-4,0.0012101413,0.0011760527
802488639,3,1741276962466813545,-4.048003E-4,1.4487782E-4,1.107892E-4
802488649,3,1741276962476629222,6.6046324E-4,1.4487782E-4,1.107892E-4
802488659,3,1741276962486449742,-4.048003E-4,0.0012101413,1.107892E-4
802488669,3,1741276962496274534,-4.048003E-4,1.4487782E-4,1.107892E-4
802488678,3,1741276962506104274,-0.0014700638,1.4487782E-4,1.107892E-4
802488688,3,1741276962515948076,6.6046324E-4,-9.203857E-4,0.0011760527
802488698,3,1741276962525797763,6.6046324E-4,1.4487782E-4,1.107892E-4
802488708,3,1741276962535653857,-4.048003E-4,1.4487782E-4,0.0011760527
802488718,3,1741276962545519847,6.6046324E-4,0.0012101413,0.0011760527
802488728,3,1741276962555396149,-4.048003E-4,1.4487782E-4,0.0011760527
802488738,3,1741276962565283076,-4.048003E-4,1.4487782E-4,1.107892E-4
802488747,3,1741276962575179586,6.6046324E-4,0.0012101413,0.0011760527
802488757,3,1741276962585086722,-4.048003E-4,0.0012101413,0.0011760527
802488767,3,1741276962595004430,-4.048003E-4,0.0012101413,1.107892E-4
802488777,3,1741276962604930159,-4.048003E-4,1.4487782E-4,1.107892E-4
802488787,3,1741276962614872503,6.6046324E-4,0.0012101413,0.0011760527
802488797,3,1741276962624822920,6.6046324E-4,1.4487782E-4,1.107892E-4
802488807,3,1741276962634783024,-4.048003E-4,1.4487782E-4,0.0011760527
802488817,3,1741276962644752451,-4.048003E-4,1.4487782E-4,0.0011760527
802488827,3,1741276962654730888,-4.048003E-4,0.0012101413,0.0011760527
802488837,3,1741276962664718701,6.6046324E-4,1.4487782E-4,0.0011760527
802488847,3,1741276962674715836,-4.048003E-4,1.4487782E-4,1.107892E-4
802488857,3,1741276962684721774,6.6046324E-4,-9.203857E-4,1.107892E-4
802488867,3,1741276962694736253,6.6046324E-4,1.4487782E-4,1.107892E-4
802488877,3,1741276962704759378,6.6046324E-4,1.4487782E-4,-9.544743E-4
802488887,3,1741276962714798180,6.6046324E-4,1.4487782E-4,0.0011760527
802488897,3,1741276962724844847,6.6046324E-4,1.4487782E-4,1.107892E-4
802488907,3,1741276962734901409,-4.048003E-4,1.4487782E-4,0.0011760527
802488917,3,1741276962744969378,6.6046324E-4,1.4487782E-4,1.107892E-4
802488927,3,1741276962755046461,6.6046324E-4,1.4487782E-4,0.0011760527
