acc_s003_002 QTI-Accelerometer-Uncalibrated Non-wakeup,TDK-Invensense,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_uncal_x[m/s^2],acc2_uncal_y[m/s^2],acc2_uncal_z[m/s^2]
802487023,3,1741276960850477867,-0.10882731,-9.788629,-0.014017299
802487033,3,1741276960860386930,-0.1040389,-9.78384,3.479123E-4
802487043,3,1741276960870322607,-0.10882731,-9.788629,-0.014017299
802487053,3,1741276960880284586,-0.10882731,-9.78384,-0.014017299
802487063,3,1741276960890270628,-0.11840411,-9.788629,0.0051363185
802487073,3,1741276960900280263,-0.10882731,-9.793417,0.0051363185
802487083,3,1741276960910321045,-0.10882731,-9.793417,3.479123E-4
802487093,3,1741276960920386670,-0.1040389,-9.788629,3.479123E-4
802487103,3,1741276960930476461,-0.11361571,-9.793417,3.479123E-4
802487113,3,1741276960940589378,-0.10882731,-9.779052,-0.0044404864
802487123,3,1741276960950725367,-0.1040389,-9.779052,-0.014017299
802487133,3,1741276960960883909,-0.1040389,-9.78384,3.479123E-4
802487143,3,1741276960971063024,-0.1040389,-9.78384,-0.009228885
802487154,3,1741276960981263024,-0.1040389,-9.774263,-0.023594096
802487164,3,1741276960991463024,-0.1040389,-9.779052,-0.018805698
802487174,3,1741276961001663024,-0.1040389,-9.793417,-0.018805698
802487184,3,1741276961011863024,-0.10882731,-9.793417,-0.009228885
802487194,3,1741276961022063024,-0.1040389,-9.793417,0.0051363185
802487205,3,1741276961032263024,-0.11361571,-9.788629,-0.014017299
802487215,3,1741276961042463024,-0.11840411,-9.779052,-0.018805698
802487225,3,1741276961052663024,-0.10882731,-9.78384,-0.02838251
802487235,3,1741276961062863024,-0.1040389,-9.78384,-0.0044404864
802487245,3,1741276961073063024,-0.10882731,-9.779052,-0.0044404864
802487256,3,1741276961083263024,-0.10882731,-9.78384,-0.009228885
802487266,3,1741276961093463024,-0.1040389,-9.793417,-0.014017299
802487276,3,1741276961103663024,-0.11361571,-9.788629,-0.014017299
802487286,3,1741276961113863024,-0.11840411,-9.78384,0.014713123
802487296,3,1741276961124063024,-0.1040389,-9.788629,-0.009228885
802487307,3,1741276961134263024,-0.1040389,-9.78384,-0.0044404864
802487317,3,1741276961144463024,-0.0992505,-9.788629,-0.018805698
802487327,3,1741276961154663024,-0.10882731,-9.779052,-0.0044404864
802487337,3,1741276961164863024,-0.1040389,-9.802994,-0.018805698
802487347,3,1741276961175063024,-0.10882731,-9.788629,-0.0044404864
802487358,3,1741276961185263024,-0.0992505,-9.788629,-0.009228885
802487368,3,1741276961195463024,-0.10882731,-9.78384,-0.023594096
802487378,3,1741276961205663024,-0.10882731,-9.779052,-0.03317091
802487388,3,1741276961215863024,-0.11361571,-9.788629,-0.014017299
802487398,3,1741276961226063024,-0.11840411,-9.793417,0.0051363185
802487409,3,1741276961236263024,-0.10882731,-9.788629,-0.014017299
802487419,3,1741276961246463024,-0.11361571,-9.788629,-0.014017299
802487429,3,1741276961256663024,-0.1040389,-9.788629,-0.018805698
802487439,3,1741276961266863024,-0.0992505,-9.788629,-0.018805698
802487449,3,1741276961277063024,-0.1040389,-9.788629,0.0051363185
802487460,3,1741276961287263024,-0.10882731,-9.78384,3.479123E-4
802487470,3,1741276961297463024,-0.11361571,-9.78384,3.479123E-4
802487480,3,1741276961307479065,-0.0992505,-9.779052,0.0051363185
802487490,3,1741276961317501565,-0.1040389,-9.788629,0.0051363185
802487500,3,1741276961327525263,-0.10882731,-9.788629,3.479123E-4
802487510,3,1741276961337549847,-0.10882731,-9.793417,-0.023594096
802487520,3,1741276961347575055,-0.1040389,-9.788629,-0.009228885
802487530,3,1741276961357380472,-0.10882731,-9.788629,0.0051363185
802487539,3,1741276961367186982,-0.1040389,-9.779052,-0.009228885
802487549,3,1741276961376995315,-0.10882731,-9.788629,0.0051363185
802487559,3,1741276961386806201,-0.11361571,-9.788629,3.479123E-4
802487569,3,1741276961396620367,-0.11361571,-9.793417,3.479123E-4
802487579,3,1741276961406439951,-0.10882731,-9.793417,-0.0044404864
802487589,3,1741276961416272451,-0.10882731,-9.793417,-0.0044404864
802487598,3,1741276961426111982,-0.10882731,-9.78384,0.014713123
802487608,3,1741276961435958597,-0.11361571,-9.774263,0.0051363185
802487618,3,1741276961445812607,-0.10882731,-9.779052,0.0051363185
802487628,3,1741276961455674742,-0.11840411,-9.788629,0.0051363185
802487638,3,1741276961465542867,-0.11361571,-9.788629,-0.0044404864
802487648,3,1741276961475416878,-0.1040389,-9.788629,0.0051363185
802487658,3,1741276961485298024,-0.0992505,-9.78384,-0.0044404864
