acc_s001_004 Accelerometer Non-wakeup,STMicro,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2]
800983738,3,1741275457566017502,0.12891331,-9.762118,0.22612174
800983748,3,1741275457576199794,0.10887343,-9.755538,0.23030917
800983758,3,1741275457586382086,0.112761766,-9.769297,0.22103699
800983768,3,1741275457596564377,0.110368945,-9.760024,0.2222334
800983779,3,1741275457606746669,0.12263216,-9.767801,0.21714866
800983789,3,1741275457616928961,0.11485548,-9.767203,0.22013968
800983799,3,1741275457627111252,0.119042926,-9.765707,0.21894327
800983809,3,1741275457637293544,0.10677971,-9.774082,0.22492532
800983819,3,1741275457647475836,0.119940236,-9.772587,0.22103699
800983830,3,1741275457657658127,0.12352947,-9.768997,0.21655045
800983840,3,1741275457667840419,0.11156536,-9.761221,0.21415763
800983850,3,1741275457678022711,0.1160519,-9.7654085,0.21864417
800983860,3,1741275457688205002,0.118145615,-9.775578,0.22313072
800983870,3,1741275457698387294,0.112761766,-9.76152,0.22671995
800983880,3,1741275457708569586,0.12562318,-9.755239,0.21894327
800983891,3,1741275457718751877,0.12532409,-9.765109,0.2213361
800983901,3,1741275457728934169,0.12412767,-9.782158,0.21535404
800983911,3,1741275457738998752,0.115752794,-9.753743,0.22761725
800983921,3,1741275457749086409,0.116650105,-9.764212,0.22013968
800983931,3,1741275457759267815,0.12352947,-9.756136,0.22761725
800983941,3,1741275457769449742,0.11485548,-9.763913,0.22342981
800983952,3,1741275457779632034,0.12173485,-9.776774,0.2105684
800983962,3,1741275457789784638,0.1274178,-9.769596,0.21984059
800983972,3,1741275457799828961,0.12083755,-9.768399,0.21415763
800983982,3,1741275457809812554,0.12981063,-9.762417,0.21984059
800983992,3,1741275457819795992,0.118145615,-9.776176,0.21864417
800984002,3,1741275457829779586,0.106480606,-9.773484,0.2114657
800984012,3,1741275457839763544,0.10857433,-9.7681,0.2204388
800984022,3,1741275457849746982,0.12113664,-9.755538,0.20967108
800984032,3,1741275457859730575,0.11306087,-9.761221,0.22671995
800984042,3,1741275457869714534,0.10887343,-9.771989,0.21804596
800984052,3,1741275457879697971,0.12622139,-9.769297,0.20937198
800984062,3,1741275457889681565,0.1271187,-9.770194,0.212363
800984072,3,1741275457899665002,0.11395818,-9.766306,0.21385853
800984082,3,1741275457909648596,0.116650105,-9.774082,0.21655045
800984092,3,1741275457919632554,0.11335997,-9.778569,0.2108675
800984102,3,1741275457929615992,0.11515459,-9.765109,0.2117648
800984111,3,1741275457939599586,0.111864455,-9.7681,0.21714866
800984121,3,1741275457949583544,0.119042926,-9.761819,0.21505493
800984131,3,1741275457959566982,0.13130614,-9.762716,0.20787647
800984141,3,1741275457969550575,0.116650105,-9.758529,0.21026929
800984151,3,1741275457979534013,0.116650105,-9.766006,0.21894327
800984161,3,1741275457989517607,0.11515459,-9.77827,0.2228316
800984171,3,1741275457999501565,0.11784652,-9.760324,0.2111666
800984181,3,1741275458009485002,0.10887343,-9.768399,0.22671995
800984191,3,1741275458019468596,0.10977074,-9.762118,0.21894327
800984201,3,1741275458029452554,0.11934203,-9.775877,0.21864417
800984211,3,1741275458039435992,0.111266255,-9.765707,0.21984059
800984221,3,1741275458049419586,0.11425728,-9.77827,0.21445672
800984231,3,1741275458059403023,0.11216356,-9.772886,0.212363
800984241,3,1741275458069386617,0.11425728,-9.77498,0.21864417
800984251,3,1741275458079370575,0.1268196,-9.763016,0.21296121
800984261,3,1741275458089354013,0.115752794,-9.767203,0.22821546
800984271,3,1741275458099337607,0.11784652,-9.768399,0.21415763
800984281,3,1741275458109321565,0.112761766,-9.768699,0.21415763
800984291,3,1741275458119305002,0.12113664,-9.763314,0.20368902
800984301,3,1741275458129288596,0.10378868,-9.771989,0.21385853
800984311,3,1741275458139272554,0.11066805,-9.775279,0.21954148
800984321,3,1741275458149255992,0.11216356,-9.779765,0.20638095
800984331,3,1741275458159239586,0.116650105,-9.77498,0.20997019
800984341,3,1741275458169223023,0.11395818,-9.763314,0.2009971
800984351,3,1741275458179206617,0.117547415,-9.751948,0.21924238
800984361,3,1741275458189190575,0.10917253,-9.756435,0.20189442
800984371,3,1741275458199174013,0.11006984,-9.765109,0.21625134
800984381,3,1741275458209157607,0.11694921,-9.771989,0.20488544
800984391,3,1741275458219141565,0.11934203,-9.772587,0.21565314
800984401,3,1741275458229125002,0.11784652,-9.769895,0.21475583
800984411,3,1741275458239108596,0.12562318,-9.763614,0.20578274
800984421,3,1741275458249092554,0.116650105,-9.763314,0.21475583
800984431,3,1741275458259075992,0.11006984,-9.772886,0.21595225
800984441,3,1741275458269059586,0.12053844,-9.767203,0.2213361
800984451,3,1741275458279043023,0.12502499,-9.751051,0.21385853
800984461,3,1741275458289026617,0.11874382,-9.766904,0.21625134
800984471,3,1741275458299010575,0.124426775,-9.756734,0.2105684
800984481,3,1741275458308994013,0.122931264,-9.757631,0.22372891
800984491,3,1741275458318977607,0.11844472,-9.767203,0.21266212
800984501,3,1741275458328961565,0.10887343,-9.775279,0.22791636
