baro_s002_001 Pressure Sensor Non-wakeup,Goertek,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),pressure[millibar]
801264372,3,977.2016
801264403,3,977.21387
801264434,3,977.1904
801264465,3,977.16315
801264497,3,977.14453
801264528,3,977.18774
801264560,3,977.21497
801264590,3,977.2623
801264622,3,977.2746
801264653,3,977.2934
801264684,3,977.2684
801264715,3,977.2613
801264747,3,977.21387
801264778,3,977.16425
801264809,3,977.15405
801264840,3,977.1269
801264872,3,977.1216
801264903,3,977.1216
801264934,3,977.1317
801264965,3,977.12103
801264997,3,977.13385
801265028,3,977.1285
801265060,3,977.1386
801265090,3,977.1269
801265122,3,977.1355
801265153,3,977.1579
801265184,3,977.1776
801265215,3,977.18555
801265247,3,977.1776
801265278,3,977.1905
801265309,3,977.1777
801265340,3,977.1734
801265372,3,977.16064
801265403,3,977.16064
801265434,3,977.159
801265465,3,977.1787
801265497,3,977.1953
801265528,3,977.192
801265559,3,977.1984
801265590,3,977.2374
801265622,3,977.2449
801265653,3,977.2475
801265684,3,977.2475
801265715,3,977.2358
801265747,3,977.2294
801265778,3,977.19476
801265809,3,977.19574
801265840,3,977.1707
801265872,3,977.20386
801265903,3,977.19476
801265934,3,977.19476
801265965,3,977.1984
801265997,3,977.20807
801266028,3,977.2246
801266059,3,977.16534
801266090,3,977.1749
801266122,3,977.1814
801266153,3,977.18665
801266184,3,977.20483
801266215,3,977.1894
801266247,3,977.19366
801266278,3,977.2012
801266309,3,977.21106
801266340,3,977.19934
801266372,3,977.19934
801266403,3,977.20886
801266434,3,977.20197
801266465,3,977.2142
801266497,3,977.21954
801266528,3,977.2222
801266559,3,977.2259
801266590,3,977.235
801266622,3,977.2435
801266653,3,977.2313
801266684,3,977.1828
801266715,3,977.1715
801266747,3,977.1774
801266778,3,977.1811
801266809,3,977.18
801266841,3,977.1838
801266872,3,977.2041
801266903,3,977.20886
801266934,3,977.2132
801266965,3,977.2132
801266997,3,977.2062
801267028,3,977.26056
801267060,3,977.3032
801267090,3,977.2814
801267122,3,977.2463
801267153,3,977.24194
801267184,3,977.235
801267215,3,977.1928
801267247,3,977.24774
801267278,3,977.3273
801267309,3,977.33923
801267340,3,977.3184
801267372,3,977.21545
801267403,3,977.1611
801267434,3,977.1424
801267465,3,977.1601
801267497,3,977.18353
801267528,3,977.20483
801267559,3,977.2725
801267591,3,977.3548
801267622,3,977.34827
801267653,3,977.3579
801267684,3,977.2641
801267715,3,977.20056
801267747,3,977.1915
801267778,3,977.19366
801267809,3,977.2134
801267841,3,977.33344
801267872,3,977.38947
801267903,3,977.43524
801267934,3,977.5035
801267965,3,977.50305
801267997,3,977.4502
801268028,3,977.3959
801268059,3,977.36597
801268090,3,977.4614
801268122,3,977.5035
801268153,3,977.42676
801268184,3,977.41455
801268215,3,977.4587
801268247,3,977.34827
801268278,3,977.3126
801268309,3,977.18134
801268340,3,977.0784
801268372,3,977.01324
801268403,3,977.1147
801268434,3,977.17236
801268465,3,977.151
801268497,3,977.192
801268528,3,977.1761
801268559,3,977.151
801268590,3,977.17926
801268622,3,977.1456
801268653,3,977.1851
801268684,3,977.1398
801268715,3,977.0987
801268747,3,977.1094
801268778,3,977.2843
801268809,3,977.32385
801268840,3,977.20917
801268872,3,977.222
801268903,3,977.2971
801268934,3,977.21765
801268965,3,977.1568
801268997,3,977.13074
801269028,3,977.151
801269059,3,977.151
801269090,3,977.151
801269122,3,977.1851
801269153,3,977.19635
801269184,3,977.1766
801269215,3,977.1958
801269247,3,977.1788
801269278,3,977.18726
801269309,3,977.19257
801269340,3,977.2037
801269372,3,977.1935
801269403,3,977.2052
801269434,3,977.21
801269465,3,977.2111
801269497,3,977.21643
801269528,3,977.21533
801269559,3,977.21796
801269590,3,977.22394
801269622,3,977.2048
801269653,3,977.2319
801269684,3,977.21
