gyro_s001_004 Gyroscope Non-wakeup,STMicro,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
801245579,3,1741275719406408551,-1.527162E-4,6.108648E-4,1.527162E-4
801245589,3,1741275719416392145,-7.6358096E-4,4.581486E-4,4.581486E-4
801245599,3,1741275719426376155,0.0,6.108648E-4,-1.527162E-4
801245609,3,1741275719436361155,-7.6358096E-4,6.108648E-4,-3.054324E-4
801245619,3,1741275719446345114,9.162972E-4,1.527162E-4,6.108648E-4
801245629,3,1741275719456329437,-7.6358096E-4,-0.0012217296,-0.0
801245638,3,1741275719466313916,-1.527162E-4,7.6358096E-4,1.527162E-4
801245648,3,1741275719476297874,-1.527162E-4,3.054324E-4,3.054324E-4
801245658,3,1741275719486282197,1.527162E-4,-3.054324E-4,-0.0
801245668,3,1741275719496266676,-4.581486E-4,0.0013744457,3.054324E-4
801245678,3,1741275719506250635,-1.527162E-4,4.581486E-4,3.054324E-4
801245688,3,1741275719516234228,-0.0012217296,-6.108648E-4,-7.6358096E-4
801245698,3,1741275719526218239,-0.0,1.527162E-4,-7.6358096E-4
801245708,3,1741275719536203239,-6.108648E-4,7.6358096E-4,0.0
801245718,3,1741275719546187562,-7.6358096E-4,0.0,-0.0
801245728,3,1741275719556172041,-0.0012217296,-1.527162E-4,-6.108648E-4
801245738,3,1741275719566155999,-4.581486E-4,-1.527162E-4,1.527162E-4
801245748,3,1741275719576140322,-7.6358096E-4,3.054324E-4,3.054324E-4
801245758,3,1741275719586124437,-3.054324E-4,3.054324E-4,-0.0
801245768,3,1741275719596108135,-4.581486E-4,6.108648E-4,1.527162E-4
801245778,3,1741275719606092978,-9.162972E-4,4.581486E-4,4.581486E-4
801245788,3,1741275719616077093,3.054324E-4,6.108648E-4,-0.0
801245798,3,1741275719626001312,1.527162E-4,-0.0010690134,4.581486E-4
801245809,3,1741275719636538551,-1.527162E-4,9.162972E-4,6.108648E-4
801245819,3,1741275719646616780,-6.108648E-4,1.527162E-4,-4.581486E-4
801245829,3,1741275719656600947,1.527162E-4,6.108648E-4,1.527162E-4
801245839,3,1741275719666585426,-3.054324E-4,6.108648E-4,-1.527162E-4
801245849,3,1741275719676569593,-4.581486E-4,9.162972E-4,1.527162E-4
801245859,3,1741275719686554072,1.527162E-4,9.162972E-4,3.054324E-4
801245869,3,1741275719696537874,1.527162E-4,6.108648E-4,0.0
801245879,3,1741275719706522718,-0.0010690134,3.054324E-4,3.054324E-4
801245889,3,1741275719716506728,-1.527162E-4,0.0010690134,4.581486E-4
801245899,3,1741275719726442718,-7.6358096E-4,1.527162E-4,-1.527162E-4
801245909,3,1741275719736413708,-1.527162E-4,-3.054324E-4,-3.054324E-4
801245919,3,1741275719746595999,-9.162972E-4,6.108648E-4,6.108648E-4
801245929,3,1741275719756778760,0.0,-0.0,-1.527162E-4
801245939,3,1741275719766940843,4.581486E-4,6.108648E-4,-4.581486E-4
801245949,3,1741275719776999801,-0.0012217296,7.6358096E-4,-9.162972E-4
801245959,3,1741275719786984228,1.527162E-4,6.108648E-4,1.527162E-4
801245969,3,1741275719796968603,-4.581486E-4,3.054324E-4,4.581486E-4
801245979,3,1741275719806952562,1.527162E-4,3.054324E-4,-4.581486E-4
801245989,3,1741275719816936051,-4.581486E-4,4.581486E-4,-6.108648E-4
801245999,3,1741275719826919905,-4.581486E-4,3.054324E-4,4.581486E-4
801246009,3,1741275719836905530,1.527162E-4,1.527162E-4,-0.0
801246019,3,1741275719846889489,-0.0,4.581486E-4,6.108648E-4
801246029,3,1741275719856873916,-3.054324E-4,0.0,1.527162E-4
801246039,3,1741275719866858291,-1.527162E-4,6.108648E-4,3.054324E-4
801246049,3,1741275719876842249,-3.054324E-4,4.581486E-4,9.162972E-4
801246059,3,1741275719886826676,3.054324E-4,1.527162E-4,-4.581486E-4
801246069,3,1741275719896811051,-7.6358096E-4,1.527162E-4,-4.581486E-4
801246079,3,1741275719906795010,-4.581486E-4,7.6358096E-4,4.581486E-4
801246089,3,1741275719916779437,-3.054324E-4,7.6358096E-4,-1.527162E-4
801246099,3,1741275719926763812,-4.581486E-4,4.581486E-4,-0.0
801246109,3,1741275719936747770,-3.054324E-4,6.108648E-4,-0.0
801246119,3,1741275719946732197,-6.108648E-4,-1.527162E-4,-0.0010690134
801246129,3,1741275719956716572,-7.6358096E-4,1.527162E-4,0.0013744457
801246139,3,1741275719966700530,-3.054324E-4,9.162972E-4,3.054324E-4
801246149,3,1741275719976684958,-3.054324E-4,4.581486E-4,-3.054324E-4
801246159,3,1741275719986669333,-6.108648E-4,4.581486E-4,1.527162E-4
801246169,3,1741275719996653291,-9.162972E-4,4.581486E-4,1.527162E-4
801246179,3,1741275720006637718,-6.108648E-4,3.054324E-4,1.527162E-4
801246189,3,1741275720016621624,-6.108648E-4,6.108648E-4,-3.054324E-4
801246199,3,1741275720026605791,0.0,3.054324E-4,7.6358096E-4
801246209,3,1741275720036590583,-4.581486E-4,6.108648E-4,0.0
801246219,3,1741275720046574541,-3.054324E-4,3.054324E-4,3.054324E-4
801246229,3,1741275720056558968,-6.108648E-4,4.581486E-4,-0.0
801246239,3,1741275720066543343,1.527162E-4,6.108648E-4,-0.0
801246249,3,1741275720076527301,-7.6358096E-4,-0.0,0.0012217296
801246259,3,1741275720086511728,-4.581486E-4,9.162972E-4,3.054324E-4
801246269,3,1741275720096496103,-4.581486E-4,0.0,6.108648E-4
801246279,3,1741275720106480062,-3.054324E-4,4.581486E-4,-0.0
801246289,3,1741275720116463551,-7.6358096E-4,4.581486E-4,0.0012217296
801246299,3,1741275720126447874,3.054324E-4,6.108648E-4,1.527162E-4
801246309,3,1741275720136432666,-7.6358096E-4,0.0010690134,4.581486E-4
