acc_s003_002 QTI-Accelerometer-Uncalibrated Non-wakeup,TDK-Invensense,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_uncal_x[m/s^2],acc2_uncal_y[m/s^2],acc2_uncal_z[m/s^2]
801244342,3,1741275718169729124,-0.10882731,-9.788629,0.024289936
801244352,3,1741275718179688083,-0.1040389,-9.78384,3.479123E-4
801244362,3,1741275718189670895,-0.1040389,-9.788629,0.014713123
801244372,3,1741275718199677093,-0.10882731,-9.788629,0.024289936
801244382,3,1741275718209683291,-0.11361571,-9.793417,0.014713123
801244392,3,1741275718219689489,-0.10882731,-9.788629,0.0051363185
801244402,3,1741275718229719124,-0.11361571,-9.788629,3.479123E-4
801244412,3,1741275718239774749,-0.11361571,-9.788629,0.0051363185
801244422,3,1741275718249855478,-0.10882731,-9.793417,0.0051363185
801244432,3,1741275718259960791,-0.10882731,-9.788629,0.0051363185
801244442,3,1741275718270090895,-0.11361571,-9.78384,0.014713123
801244452,3,1741275718280244385,-0.1040389,-9.78384,0.014713123
801244463,3,1741275718290421155,-0.10882731,-9.788629,0.009924725
801244473,3,1741275718300620166,-0.1040389,-9.788629,3.479123E-4
801244483,3,1741275718310820166,-0.11361571,-9.779052,3.479123E-4
801244493,3,1741275718321020166,-0.11361571,-9.793417,0.014713123
801244503,3,1741275718331220166,-0.10882731,-9.788629,-0.009228885
801244514,3,1741275718341420166,-0.10882731,-9.793417,3.479123E-4
801244524,3,1741275718351620166,-0.1040389,-9.788629,3.479123E-4
801244534,3,1741275718361820166,-0.11361571,-9.78384,0.0051363185
801244544,3,1741275718372020166,-0.11361571,-9.788629,0.0051363185
801244554,3,1741275718382220166,-0.12319252,-9.788629,3.479123E-4
801244565,3,1741275718392420166,-0.11840411,-9.798205,3.479123E-4
801244575,3,1741275718402620166,-0.11361571,-9.793417,0.009924725
801244585,3,1741275718412820166,-0.1040389,-9.793417,0.024289936
801244595,3,1741275718423020166,-0.0992505,-9.788629,0.01950153
801244605,3,1741275718433220166,-0.0992505,-9.78384,0.03386674
801244616,3,1741275718443420166,-0.1040389,-9.78384,0.01950153
801244626,3,1741275718453620166,-0.11361571,-9.798205,0.0051363185
801244636,3,1741275718463820166,-0.1040389,-9.793417,0.0051363185
801244646,3,1741275718474020166,-0.11840411,-9.798205,3.479123E-4
801244656,3,1741275718484220166,-0.11361571,-9.798205,-0.009228885
801244667,3,1741275718494420166,-0.11840411,-9.788629,-0.0044404864
801244677,3,1741275718504620166,-0.1040389,-9.788629,0.009924725
801244687,3,1741275718514820166,-0.1040389,-9.78384,0.014713123
801244697,3,1741275718525020166,-0.0992505,-9.793417,-0.0044404864
801244707,3,1741275718535220166,-0.11361571,-9.793417,3.479123E-4
801244718,3,1741275718545420166,-0.10882731,-9.788629,0.009924725
801244728,3,1741275718555620166,-0.11840411,-9.788629,-0.009228885
801244738,3,1741275718565820166,-0.11361571,-9.78384,0.009924725
801244748,3,1741275718576020166,-0.11361571,-9.788629,0.0051363185
801244758,3,1741275718586220166,-0.1040389,-9.798205,0.01950153
801244769,3,1741275718596420166,-0.11840411,-9.788629,0.0051363185
801244779,3,1741275718606620166,-0.10882731,-9.788629,0.0051363185
801244789,3,1741275718616820166,-0.1040389,-9.779052,0.014713123
801244799,3,1741275718627020166,-0.10882731,-9.78384,0.014713123
801244809,3,1741275718637220166,-0.1040389,-9.78384,0.0051363185
801244819,3,1741275718647231780,-0.10882731,-9.779052,0.01950153
801244829,3,1741275718657243499,-0.11361571,-9.78384,0.009924725
801244839,3,1741275718667048916,-0.10882731,-9.78384,0.0051363185
801244849,3,1741275718676854853,-0.11361571,-9.788629,0.0051363185
801244859,3,1741275718686662770,-0.1040389,-9.779052,0.024289936
801244869,3,1741275718696470999,-0.10882731,-9.78384,0.009924725
801244878,3,1741275718706282718,-0.1040389,-9.798205,0.0051363185
801244888,3,1741275718716102978,-0.11361571,-9.779052,0.0051363185
801244898,3,1741275718725928812,-0.11361571,-9.78384,0.0051363185
801244908,3,1741275718735759645,-0.1040389,-9.788629,-0.009228885
801244918,3,1741275718745595791,-0.11361571,-9.788629,3.479123E-4
801244928,3,1741275718755438187,-0.10882731,-9.788629,0.0051363185
801244937,3,1741275718765286312,-0.11361571,-9.788629,0.014713123
801244947,3,1741275718775139385,-0.12319252,-9.78384,0.024289936
801244957,3,1741275718784997874,-0.11840411,-9.78384,-0.0044404864
801244967,3,1741275718794862249,-0.12798092,-9.793417,-0.0044404864
801244977,3,1741275718804733030,-0.10882731,-9.793417,3.479123E-4
801244987,3,1741275718814619124,-0.10882731,-9.78384,0.009924725
801244997,3,1741275718824511989,-0.10882731,-9.793417,0.014713123
801245007,3,1741275718834412093,-0.11361571,-9.78384,0.0051363185
801245016,3,1741275718844320114,-0.0992505,-9.788629,0.009924725
801245026,3,1741275718854235947,-0.11361571,-9.774263,0.01950153
801245036,3,1741275718864160062,-0.1040389,-9.788629,3.479123E-4
801245046,3,1741275718874092562,-0.11361571,-9.793417,-0.014017299
801245056,3,1741275718884035478,-0.1040389,-9.78384,-0.0044404864
801245066,3,1741275718893988135,-0.10882731,-9.78384,-0.014017299
801245076,3,1741275718903951416,-0.11840411,-9.788629,3.479123E-4
801245086,3,1741275718913935530,-0.11840411,-9.793417,0.014713123
