Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 06.43.21.088 PM,Capture Start Frame,49894,Total Frames in Take,11684,Total Exported Frames,11684,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
181,1.810000,0.286118,-0.571941,-0.689057,0.340911,-0.569010,0.065166,0.014497
182,1.820000,0.286178,-0.571986,-0.689156,0.340584,-0.569020,0.065187,0.014486
183,1.830000,0.286092,-0.571936,-0.689056,0.340943,-0.569007,0.065177,0.014515
184,1.840000,0.286012,-0.571923,-0.689144,0.340855,-0.569005,0.065192,0.014498
185,1.850000,0.286236,-0.571918,-0.689126,0.340713,-0.569004,0.065170,0.014513
186,1.860000,0.286470,-0.571230,-0.689559,0.340792,-0.568962,0.065248,0.014386
187,1.870000,0.285989,-0.572063,-0.689088,0.340752,-0.568985,0.065194,0.014495
188,1.880000,0.286505,-0.571168,-0.689471,0.341045,-0.568962,0.065227,0.014409
189,1.890000,0.285655,-0.572128,-0.689276,0.340543,-0.568923,0.065248,0.014510
190,1.900000,0.286063,-0.571974,-0.689050,0.340917,-0.568996,0.065166,0.014506
191,1.910000,0.285993,-0.571958,-0.689103,0.340895,-0.568991,0.065165,0.014495
192,1.920000,0.286016,-0.571966,-0.689080,0.340908,-0.568980,0.065200,0.014530
193,1.930000,0.286079,-0.571914,-0.688993,0.341119,-0.568988,0.065170,0.014517
194,1.940000,0.285886,-0.572037,-0.689027,0.341006,-0.568963,0.065205,0.014533
195,1.950000,0.286885,-0.571259,-0.689075,0.341374,-0.569020,0.065209,0.014413
196,1.960000,0.286057,-0.571962,-0.689101,0.340840,-0.568989,0.065171,0.014514
197,1.970000,0.286087,-0.572046,-0.689041,0.340794,-0.568983,0.065167,0.014493
198,1.980000,0.285975,-0.572007,-0.688981,0.341075,-0.568959,0.065190,0.014534
199,1.990000,0.286116,-0.572000,-0.689025,0.340878,-0.568991,0.065176,0.014509
200,2.000000,0.285945,-0.572005,-0.689036,0.340990,-0.568962,0.065170,0.014502
201,2.010000,0.285916,-0.571987,-0.689006,0.341105,-0.568970,0.065187,0.014540
202,2.020000,0.286187,-0.571928,-0.689066,0.340856,-0.569000,0.065144,0.014494
203,2.030000,0.286064,-0.571956,-0.689051,0.340944,-0.568981,0.065156,0.014506
204,2.040000,0.286089,-0.571933,-0.689089,0.340883,-0.568984,0.065161,0.014510
205,2.050000,0.286357,-0.571171,-0.689517,0.341071,-0.568943,0.065235,0.014408
206,2.060000,0.286071,-0.571974,-0.689089,0.340831,-0.568974,0.065194,0.014523
207,2.070000,0.286068,-0.571897,-0.689160,0.340819,-0.568986,0.065170,0.014491
208,2.080000,0.286224,-0.571469,-0.688952,0.341825,-0.568842,0.065129,0.014486
209,2.090000,0.286447,-0.571141,-0.689492,0.341095,-0.568962,0.065216,0.014422
210,2.100000,0.286781,-0.571889,-0.688775,0.341013,-0.569090,0.065071,0.014472
211,2.110000,0.286133,-0.572053,-0.689055,0.340714,-0.568979,0.065160,0.014501
212,2.120000,0.285993,-0.572023,-0.689154,0.340683,-0.568991,0.065172,0.014496
213,2.130000,0.286769,-0.571867,-0.688809,0.340991,-0.569096,0.065069,0.014460
214,2.140000,0.286092,-0.571521,-0.688862,0.342028,-0.568842,0.065121,0.014505
215,2.150000,0.286806,-0.571984,-0.688710,0.340962,-0.569095,0.065063,0.014458
216,2.160000,0.286155,-0.572046,-0.689220,0.340375,-0.569017,0.065179,0.014484
217,2.170000,0.286592,-0.571958,-0.688523,0.341563,-0.569056,0.065103,0.014507
218,2.180000,0.286007,-0.572146,-0.689290,0.340189,-0.568956,0.065171,0.014489
219,2.190000,0.286053,-0.571289,-0.689627,0.340906,-0.568905,0.065281,0.014439
220,2.200000,0.286179,-0.571975,-0.689309,0.340293,-0.568979,0.065107,0.014510
221,2.210000,0.290114,-0.571308,-0.690511,0.335613,-0.569476,0.064629,0.014789
222,2.220000,0.290126,-0.571484,-0.690701,0.334911,-0.569473,0.064679,0.014768
223,2.230000,0.290297,-0.571203,-0.690575,0.335500,-0.569494,0.064650,0.014782
224,2.240000,0.290239,-0.571539,-0.690487,0.335159,-0.569495,0.064679,0.014768
225,2.250000,0.290384,-0.571284,-0.690508,0.335426,-0.569489,0.064639,0.014777
226,2.260000,0.289474,-0.571315,-0.690425,0.336330,-0.569382,0.064732,0.014825
227,2.270000,0.290192,-0.571351,-0.690533,0.335427,-0.569480,0.064629,0.014774
228,2.280000,0.290207,-0.571253,-0.690548,0.335550,-0.569487,0.064638,0.014788
229,2.290000,0.290209,-0.571409,-0.690636,0.335101,-0.569478,0.064655,0.014777
230,2.300000,0.290240,-0.571268,-0.690557,0.335477,-0.569476,0.064621,0.014785
231,2.310000,0.290187,-0.571514,-0.690652,0.334908,-0.569472,0.064668,0.014746
232,2.320000,0.290148,-0.571286,-0.690558,0.335524,-0.569463,0.064622,0.014786
233,2.330000,0.290198,-0.571321,-0.690463,0.335618,-0.569479,0.064625,0.014799
234,2.340000,0.290172,-0.571377,-0.690621,0.335219,-0.569488,0.064655,0.014774
235,2.350000,0.290259,-0.571479,-0.690635,0.334939,-0.569476,0.064680,0.014768
236,2.360000,0.290156,-0.571341,-0.690498,0.335547,-0.569474,0.064627,0.014786
237,2.370000,0.290119,-0.571569,-0.690674,0.334829,-0.569487,0.064693,0.014776
238,2.380000,0.290199,-0.571347,-0.690521,0.335453,-0.569495,0.064650,0.014764
239,2.390000,0.290198,-0.571404,-0.690545,0.335308,-0.569488,0.064648,0.014774
240,2.400000,0.290156,-0.571582,-0.690577,0.334973,-0.569488,0.064680,0.014771
241,2.410000,0.290146,-0.571395,-0.690596,0.335262,-0.569481,0.064661,0.014773
242,2.420000,0.290115,-0.571241,-0.690561,0.335622,-0.569478,0.064644,0.014775
243,2.430000,0.290189,-0.571342,-0.690534,0.335442,-0.569477,0.064633,0.014776
244,2.440000,0.290177,-0.571343,-0.690540,0.335438,-0.569433,0.064647,0.014773
245,2.450000,0.290197,-0.571501,-0.690609,0.335008,-0.569487,0.064678,0.014750
246,2.460000,0.290108,-0.571288,-0.690521,0.335632,-0.569481,0.064643,0.014782
247,2.470000,0.290198,-0.571295,-0.690571,0.335438,-0.569488,0.064628,0.014782
248,2.480000,0.290178,-0.571379,-0.690529,0.335400,-0.569487,0.064645,0.014773
249,2.490000,0.290222,-0.571370,-0.690488,0.335461,-0.569483,0.064633,0.014783
250,2.500000,0.290327,-0.571365,-0.690472,0.335412,-0.569477,0.064617,0.014777
251,2.510000,0.290506,-0.570576,-0.690949,0.335616,-0.569453,0.064703,0.014693
252,2.520000,0.289446,-0.571493,-0.690427,0.336048,-0.569375,0.064746,0.014812
