Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM_004,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 07.04.03.103 PM,Capture Start Frame,174096,Total Frames in Take,20102,Total Exported Frames,20102,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
119,1.190000,-0.286947,0.570618,0.689496,-0.341544,-0.569079,0.065153,0.014494
120,1.200000,-0.287063,0.570703,0.689371,-0.341557,-0.569070,0.065136,0.014483
121,1.210000,-0.287034,0.570688,0.689407,-0.341534,-0.569077,0.065148,0.014497
122,1.220000,-0.287136,0.570711,0.689379,-0.341464,-0.569081,0.065167,0.014497
123,1.230000,-0.287102,0.570619,0.689463,-0.341479,-0.569073,0.065144,0.014479
124,1.240000,-0.287120,0.570650,0.689487,-0.341362,-0.569068,0.065159,0.014488
125,1.250000,-0.287107,0.570634,0.689449,-0.341475,-0.569067,0.065151,0.014489
126,1.260000,-0.287075,0.570487,0.689446,-0.341757,-0.569073,0.065131,0.014504
127,1.270000,-0.286664,0.570958,0.689625,-0.340952,-0.569110,0.065154,0.014529
128,1.280000,-0.286650,0.570987,0.689596,-0.340974,-0.569095,0.065163,0.014524
129,1.290000,-0.287399,0.570954,0.689368,-0.340858,-0.569367,0.064984,0.014496
130,1.300000,-0.288898,0.570527,0.690053,-0.338916,-0.569482,0.064780,0.014639
131,1.310000,-0.288910,0.570558,0.690079,-0.338799,-0.569479,0.064776,0.014641
132,1.320000,-0.288881,0.570658,0.690069,-0.338677,-0.569498,0.064764,0.014644
133,1.330000,-0.288936,0.570572,0.690122,-0.338666,-0.569482,0.064777,0.014645
134,1.340000,-0.288808,0.570667,0.690050,-0.338763,-0.569489,0.064796,0.014648
135,1.350000,-0.287392,0.570995,0.689669,-0.340187,-0.569329,0.064947,0.014530
136,1.360000,-0.288911,0.570606,0.690060,-0.338756,-0.569488,0.064788,0.014647
137,1.370000,-0.288846,0.570673,0.690119,-0.338579,-0.569482,0.064792,0.014646
138,1.380000,-0.288841,0.570652,0.690099,-0.338661,-0.569498,0.064790,0.014644
139,1.390000,-0.288825,0.570619,0.690135,-0.338655,-0.569504,0.064783,0.014644
140,1.400000,-0.288800,0.570776,0.690145,-0.338392,-0.569490,0.064812,0.014637
141,1.410000,-0.288893,0.570697,0.690044,-0.338652,-0.569493,0.064804,0.014619
142,1.420000,-0.288799,0.570657,0.690100,-0.338685,-0.569506,0.064804,0.014634
143,1.430000,-0.288804,0.570621,0.690054,-0.338836,-0.569507,0.064813,0.014621
144,1.440000,-0.288872,0.570604,0.690060,-0.338795,-0.569513,0.064801,0.014635
145,1.450000,-0.288892,0.570590,0.690067,-0.338787,-0.569513,0.064796,0.014628
146,1.460000,-0.288823,0.570677,0.690089,-0.338653,-0.569511,0.064795,0.014622
147,1.470000,-0.288899,0.570718,0.689987,-0.338729,-0.569515,0.064798,0.014624
148,1.480000,-0.287406,0.571031,0.689632,-0.340191,-0.569359,0.064961,0.014498
149,1.490000,-0.288805,0.570613,0.689968,-0.339023,-0.569521,0.064786,0.014628
150,1.500000,-0.288866,0.570610,0.690054,-0.338800,-0.569525,0.064796,0.014635
151,1.510000,-0.288953,0.570658,0.690014,-0.338727,-0.569519,0.064799,0.014632
152,1.520000,-0.286478,0.571067,0.689748,-0.340676,-0.569039,0.065218,0.014533
153,1.530000,-0.288897,0.570607,0.690155,-0.338574,-0.569519,0.064814,0.014640
154,1.540000,-0.288390,0.570708,0.690138,-0.338870,-0.569482,0.064742,0.014587
155,1.550000,-0.286458,0.571053,0.689737,-0.340740,-0.569050,0.065188,0.014552
156,1.560000,-0.288836,0.570691,0.690193,-0.338406,-0.569509,0.064801,0.014644
157,1.570000,-0.288371,0.570681,0.690247,-0.338709,-0.569494,0.064731,0.014585
158,1.580000,-0.286469,0.571137,0.689787,-0.340488,-0.569043,0.065193,0.014542
159,1.590000,-0.288878,0.570665,0.690122,-0.338560,-0.569507,0.064796,0.014634
160,1.600000,-0.287485,0.570916,0.689611,-0.340359,-0.569324,0.064943,0.014524
161,1.610000,-0.288708,0.570634,0.690300,-0.338394,-0.569490,0.064843,0.014649
162,1.620000,-0.288884,0.570657,0.690122,-0.338567,-0.569507,0.064801,0.014641
163,1.630000,-0.288861,0.570671,0.690150,-0.338506,-0.569516,0.064816,0.014633
164,1.640000,-0.287411,0.570900,0.689657,-0.340355,-0.569341,0.064945,0.014517
165,1.650000,-0.288649,0.570726,0.690217,-0.338459,-0.569538,0.064820,0.014644
166,1.660000,-0.288924,0.570600,0.690083,-0.338710,-0.569499,0.064803,0.014635
167,1.670000,-0.288845,0.570689,0.690094,-0.338605,-0.569521,0.064806,0.014656
168,1.680000,-0.288776,0.570615,0.690146,-0.338683,-0.569512,0.064798,0.014639
169,1.690000,-0.288870,0.570673,0.690144,-0.338508,-0.569505,0.064798,0.014635
170,1.700000,-0.288301,0.570744,0.690216,-0.338728,-0.569472,0.064753,0.014582
171,1.710000,-0.286491,0.571073,0.689723,-0.340706,-0.569030,0.065186,0.014553
172,1.720000,-0.286459,0.571074,0.689785,-0.340606,-0.569043,0.065184,0.014543
173,1.730000,-0.287437,0.570891,0.689606,-0.340451,-0.569334,0.064923,0.014525
174,1.740000,-0.288885,0.570724,0.690129,-0.338441,-0.569521,0.064798,0.014628
175,1.750000,-0.286499,0.571139,0.689727,-0.340581,-0.569021,0.065200,0.014520
176,1.760000,-0.286423,0.571061,0.689731,-0.340767,-0.569018,0.065191,0.014527
177,1.770000,-0.287310,0.570925,0.689678,-0.340357,-0.569328,0.064926,0.014520
178,1.780000,-0.288900,0.570579,0.690096,-0.338740,-0.569491,0.064779,0.014655
179,1.790000,-0.288874,0.570604,0.690102,-0.338706,-0.569491,0.064773,0.014645
180,1.800000,-0.288864,0.570707,0.690084,-0.338579,-0.569511,0.064774,0.014640
181,1.810000,-0.286402,0.571147,0.689771,-0.340560,-0.569035,0.065208,0.014538
182,1.820000,-0.287321,0.570953,0.689722,-0.340210,-0.569323,0.064944,0.014509
183,1.830000,-0.288919,0.570529,0.690019,-0.338962,-0.569482,0.064752,0.014639
184,1.840000,-0.288873,0.570567,0.690073,-0.338829,-0.569498,0.064759,0.014640
185,1.850000,-0.288941,0.570609,0.690053,-0.338741,-0.569500,0.064759,0.014647
186,1.860000,-0.288915,0.570623,0.690125,-0.338592,-0.569508,0.064764,0.014640
187,1.870000,-0.288795,0.570764,0.690045,-0.338620,-0.569516,0.064773,0.014640
188,1.880000,-0.288879,0.570631,0.690070,-0.338722,-0.569511,0.064760,0.014633
189,1.890000,-0.288826,0.570692,0.690102,-0.338600,-0.569516,0.064783,0.014642
