gyro_s001_004 Gyroscope Non-wakeup,STMicro,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
801750329,3,1741276224156918717,4.581486E-4,-1.527162E-4,-0.0013744457
801750339,3,1741276224166904290,-1.527162E-4,-0.0010690134,-1.527162E-4
801750349,3,1741276224176889134,9.162972E-4,-6.108648E-4,-3.054324E-4
801750359,3,1741276224186873978,-1.527162E-4,-3.054324E-4,-7.6358096E-4
801750369,3,1741276224196858978,-0.0,-6.108648E-4,-4.581486E-4
801750379,3,1741276224206844550,3.054324E-4,-4.581486E-4,-0.0010690134
801750389,3,1741276224216829394,-3.054324E-4,-3.054324E-4,-3.054324E-4
801750399,3,1741276224226814394,4.581486E-4,-0.0,-7.6358096E-4
801750409,3,1741276224236799967,4.581486E-4,-6.108648E-4,4.581486E-4
801750419,3,1741276224246784811,9.162972E-4,-3.054324E-4,-7.6358096E-4
801750429,3,1741276224256769655,9.162972E-4,-1.527162E-4,-1.527162E-4
801750439,3,1741276224266754655,-4.581486E-4,-1.527162E-4,-3.054324E-4
801750449,3,1741276224276740228,7.6358096E-4,-1.527162E-4,-1.527162E-4
801750459,3,1741276224286725071,0.0,0.0,-6.108648E-4
801750469,3,1741276224296709915,7.6358096E-4,1.527162E-4,-0.0012217296
801750479,3,1741276224306694915,3.054324E-4,3.054324E-4,-1.527162E-4
801750489,3,1741276224316680488,1.527162E-4,-3.054324E-4,-0.0010690134
801750499,3,1741276224326665332,-1.527162E-4,0.0,3.054324E-4
801750509,3,1741276224336650332,3.054324E-4,4.581486E-4,1.527162E-4
801750519,3,1741276224346635905,-4.581486E-4,-9.162972E-4,-3.054324E-4
801750529,3,1741276224356620748,3.054324E-4,-6.108648E-4,-3.054324E-4
801750539,3,1741276224366605592,6.108648E-4,-1.527162E-4,1.527162E-4
801750549,3,1741276224376590592,-3.054324E-4,-9.162972E-4,-7.6358096E-4
801750559,3,1741276224386576165,1.527162E-4,1.527162E-4,1.527162E-4
801750569,3,1741276224396561009,3.054324E-4,1.527162E-4,1.527162E-4
801750579,3,1741276224406545853,-4.581486E-4,-1.527162E-4,-7.6358096E-4
801750589,3,1741276224416530540,3.054324E-4,0.0,-4.581486E-4
801750599,3,1741276224426514498,-0.0,0.0,3.054324E-4
801750609,3,1741276224436501321,3.054324E-4,4.581486E-4,-4.581486E-4
801750619,3,1741276224446486321,4.581486E-4,6.108648E-4,3.054324E-4
801750629,3,1741276224456471894,-1.527162E-4,1.527162E-4,-3.054324E-4
801750639,3,1741276224466456738,7.6358096E-4,3.054324E-4,-0.0010690134
801750649,3,1741276224476441582,-6.108648E-4,0.0,-6.108648E-4
801750659,3,1741276224486426582,-3.054324E-4,-7.6358096E-4,-3.054324E-4
801750669,3,1741276224496412155,-4.581486E-4,-3.054324E-4,1.527162E-4
801750678,3,1741276224506396998,-0.0,-1.527162E-4,-6.108648E-4
801750688,3,1741276224516381842,-3.054324E-4,6.108648E-4,-6.108648E-4
801750698,3,1741276224526366842,0.0010690134,-1.527162E-4,-6.108648E-4
801750708,3,1741276224536352415,-1.527162E-4,4.581486E-4,0.0
801750718,3,1741276224546337259,-1.527162E-4,3.054324E-4,1.527162E-4
801750728,3,1741276224556322259,1.527162E-4,3.054324E-4,-9.162972E-4
801750738,3,1741276224566307832,-0.0,-6.108648E-4,-4.581486E-4
801750748,3,1741276224576292675,6.108648E-4,4.581486E-4,-6.108648E-4
801750758,3,1741276224586277519,4.581486E-4,-0.0,-3.054324E-4
801750768,3,1741276224596262519,0.0,1.527162E-4,-9.162972E-4
801750778,3,1741276224606247936,-0.0,-1.527162E-4,-4.581486E-4
801750788,3,1741276224616232103,-3.054324E-4,-4.581486E-4,-3.054324E-4
801750798,3,1741276224626217832,3.054324E-4,-4.581486E-4,-7.6358096E-4
801750808,3,1741276224636203405,3.054324E-4,-6.108648E-4,-6.108648E-4
801750818,3,1741276224646188248,3.054324E-4,1.527162E-4,-4.581486E-4
801750828,3,1741276224656173092,4.581486E-4,-3.054324E-4,-6.108648E-4
801750838,3,1741276224666158092,-3.054324E-4,-3.054324E-4,1.527162E-4
801750848,3,1741276224676143665,7.6358096E-4,3.054324E-4,-0.0012217296
801750858,3,1741276224686128509,-4.581486E-4,-3.054324E-4,0.0
801750868,3,1741276224696113353,-1.527162E-4,-0.0,-0.0
801750878,3,1741276224706098353,-4.581486E-4,-4.581486E-4,3.054324E-4
801750888,3,1741276224716083925,1.527162E-4,-1.527162E-4,-7.6358096E-4
801750898,3,1741276224726068769,-1.527162E-4,-7.6358096E-4,-1.527162E-4
801750908,3,1741276224736053769,1.527162E-4,-3.054324E-4,0.0
801750918,3,1741276224746039342,0.0010690134,-9.162972E-4,-3.054324E-4
801750928,3,1741276224756024186,-4.581486E-4,0.0,-4.581486E-4
801750938,3,1741276224766009030,4.581486E-4,-6.108648E-4,-0.0
801750948,3,1741276224775994030,0.0,-6.108648E-4,-9.162972E-4
801750958,3,1741276224785979603,-1.527162E-4,4.581486E-4,-6.108648E-4
801750968,3,1741276224795964446,1.527162E-4,-0.0013744457,-6.108648E-4
801750978,3,1741276224805949290,-1.527162E-4,-3.054324E-4,-3.054324E-4
801750988,3,1741276224815933978,-4.581486E-4,9.162972E-4,-0.0010690134
801750998,3,1741276224825918248,-3.054324E-4,1.527162E-4,-0.0
801751008,3,1741276224835904550,6.108648E-4,-1.527162E-4,0.0
801751018,3,1741276224845889550,-4.581486E-4,-0.0,-4.581486E-4
801751028,3,1741276224855875123,0.0,4.581486E-4,4.581486E-4
801751038,3,1741276224865859967,4.581486E-4,-3.054324E-4,-9.162972E-4
801751048,3,1741276224875844967,9.162972E-4,3.054324E-4,0.0
801751058,3,1741276224885830540,1.527162E-4,-4.581486E-4,-3.054324E-4
801751068,3,1741276224895815384,6.108648E-4,-6.108648E-4,1.527162E-4
801751078,3,1741276224905800228,6.108648E-4,-6.108648E-4,-9.162972E-4
801751088,3,1741276224915784915,1.527162E-4,-7.6358096E-4,-3.054324E-4
801751098,3,1741276224925769186,4.581486E-4,0.0,-4.581486E-4
801751108,3,1741276224935755488,-6.108648E-4,0.0,-0.0010690134
801751118,3,1741276224945740488,6.108648E-4,1.527162E-4,-4.581486E-4
801751128,3,1741276224955726061,6.108648E-4,1.527162E-4,-4.581486E-4
801751138,3,1741276224965710905,1.527162E-4,-1.527162E-4,-1.527162E-4
801751148,3,1741276224975695905,6.108648E-4,4.581486E-4,-3.054324E-4
801751158,3,1741276224985681478,-6.108648E-4,-3.054324E-4,-4.581486E-4
801751168,3,1741276224995666321,4.581486E-4,-1.527162E-4,-6.108648E-4
801751178,3,1741276225005651165,1.527162E-4,6.108648E-4,-4.581486E-4
801751188,3,1741276225015636165,-6.108648E-4,-0.0,6.108648E-4
801751198,3,1741276225025621738,4.581486E-4,-0.0013744457,-6.108648E-4
801751208,3,1741276225035606582,-0.0,-4.581486E-4,-6.108648E-4
801751218,3,1741276225045591425,-0.0,-6.108648E-4,-1.527162E-4
801751228,3,1741276225055576425,3.054324E-4,4.581486E-4,-1.527162E-4
801751238,3,1741276225065561998,0.0,-0.0,-4.581486E-4
801751248,3,1741276225075546842,3.054324E-4,3.054324E-4,-3.054324E-4
801751258,3,1741276225085531842,1.527162E-4,7.6358096E-4,-6.108648E-4
801751268,3,1741276225095517415,1.527162E-4,1.527162E-4,-0.0010690134
801751278,3,1741276225105502259,-3.054324E-4,1.527162E-4,-3.054324E-4
801751288,3,1741276225115486946,3.054324E-4,7.6358096E-4,-9.162972E-4
801751298,3,1741276225125471217,4.581486E-4,-7.6358096E-4,-4.581486E-4
801751308,3,1741276225135457519,-0.0,-4.581486E-4,-3.054324E-4
801751318,3,1741276225145442363,6.108648E-4,-7.6358096E-4,-6.108648E-4
801751328,3,1741276225155427363,-4.581486E-4,1.527162E-4,-4.581486E-4
801751338,3,1741276225165412936,3.054324E-4,-0.0,-0.0
801751347,3,1741276225175397780,4.581486E-4,4.581486E-4,-4.581486E-4
801751357,3,1741276225185382780,-3.054324E-4,-1.527162E-4,-7.6358096E-4
801751367,3,1741276225195368353,-1.527162E-4,-3.054324E-4,-0.0012217296
801751377,3,1741276225205353196,6.108648E-4,4.581486E-4,-4.581486E-4
801751387,3,1741276225215338040,3.054324E-4,-4.581486E-4,-0.0010690134
