baro_s002_001 Pressure Sensor Non-wakeup,Goertek,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),pressure[millibar]
801464153,3,977.14465
801464184,3,977.07355
801464215,3,977.056
801464247,3,977.05286
801464278,3,977.09125
801464309,3,977.0646
801464340,3,977.0438
801464372,3,977.0267
801464403,3,977.056
801464434,3,977.0481
801464465,3,976.9974
801464497,3,977.0386
801464528,3,977.056
801464559,3,977.0603
801464590,3,977.05975
801464622,3,977.0326
801464653,3,977.017
801464684,3,977.00854
801464716,3,977.01117
801464747,3,977.01447
801464778,3,976.968
801464809,3,976.9312
801464840,3,976.8917
801464872,3,976.9028
801464903,3,976.8992
801464934,3,976.92267
801464966,3,976.9231
801464997,3,976.945
801465028,3,976.9513
801465059,3,976.97064
801465090,3,976.9642
801465122,3,976.97327
801465153,3,976.98505
801465184,3,976.98505
801465215,3,976.99084
801465247,3,976.99994
801465278,3,977.00745
801465309,3,977.02185
801465340,3,977.0207
801465372,3,977.03253
801465403,3,977.03516
801465434,3,977.0289
801465465,3,977.0608
801465497,3,977.04004
801465528,3,977.0357
801465559,3,977.0608
801465590,3,977.04266
801465622,3,977.0586
801465653,3,977.04266
801465684,3,977.05286
801465715,3,977.0773
801465747,3,977.0709
801465778,3,977.0752
801465809,3,977.0838
801465840,3,977.0747
801465872,3,977.06665
801465903,3,977.08264
801465934,3,977.0747
801465965,3,977.0871
801465997,3,977.0706
801466028,3,977.0871
801466059,3,977.0929
801466090,3,977.0845
801466122,3,977.0845
801466153,3,977.0898
801466184,3,977.10315
801466215,3,977.1138
801466247,3,977.1201
801466278,3,977.1116
801466309,3,977.1111
801466340,3,977.13727
801466372,3,977.12274
801466403,3,977.1138
801466434,3,977.1629
801466465,3,977.1464
801466497,3,977.1591
801466528,3,977.17993
801466559,3,977.19543
801466590,3,977.16125
801466622,3,977.1896
801466653,3,977.1981
801466684,3,977.205
801466715,3,977.2135
801466747,3,977.211
801466778,3,977.2061
801466809,3,977.2274
801466840,3,977.2263
801466872,3,977.21246
801466903,3,977.1842
801466934,3,977.19495
801466965,3,977.20233
801466997,3,977.1803
801467028,3,977.19635
801467059,3,977.18085
801467090,3,977.16223
801467122,3,977.15735
801467153,3,977.16437
801467184,3,977.1419
801467215,3,977.12537
801467247,3,977.1243
801467278,3,977.111
801467309,3,977.12
801467340,3,977.145
801467372,3,977.1099
801467403,3,977.1237
801467434,3,977.14465
801467465,3,977.1547
801467497,3,977.1099
801467528,3,977.1013
801467559,3,977.0998
801467590,3,977.1099
801467622,3,977.1232
801467653,3,977.145
801467684,3,977.1355
801467715,3,977.1317
801467747,3,977.1627
801467778,3,977.1702
801467809,3,977.1959
801467840,3,977.215
801467872,3,977.2348
801467903,3,977.2358
801467934,3,977.2145
801467965,3,977.2182
801467997,3,977.1824
801468028,3,977.1764
801468059,3,977.1839
801468090,3,977.16364
801468122,3,977.1327
801468153,3,977.11774
801468184,3,977.1578
801468215,3,977.1572
801468247,3,977.16364
801468278,3,977.185
801468309,3,977.19135
801468340,3,977.2009
801468372,3,977.1887
801468403,3,977.1887
801468434,3,977.202
801468465,3,977.19135
801468497,3,977.1881
801468528,3,977.202
801468559,3,977.1642
801468590,3,977.1876
801468622,3,977.1642
801468653,3,977.1279
801468684,3,977.0814
801468715,3,977.0804
801468747,3,977.0906
801468778,3,977.06976
801468809,3,977.074
801468840,3,977.06976
801468872,3,977.0719
801468903,3,977.05695
801468934,3,977.05695
801468965,3,977.0889
801468997,3,977.0889
801469028,3,977.0791
801469059,3,977.0791
801469090,3,977.05725
801469122,3,977.0909
801469153,3,977.12024
801469184,3,977.0817
801469215,3,977.0632
801469247,3,977.0861
801469278,3,977.0776
801469309,3,977.0561
801469340,3,977.0919
801469372,3,977.09955
801469403,3,977.0845
801469434,3,977.0785
801469465,3,977.0914
801469497,3,977.0685
801469528,3,977.0685
801469559,3,977.0845
801469590,3,977.06946
801469622,3,977.0765
801469653,3,977.0834
801469684,3,977.06995
801469715,3,977.0919
801469747,3,977.0791
801469778,3,977.0834
801469809,3,977.0653
801469840,3,977.0828
801469872,3,977.0861
801469903,3,977.0929
801469934,3,977.1052
801469965,3,977.0999
801469997,3,977.1106
801470028,3,977.12274
801470059,3,977.13336
801470090,3,977.0976
801470122,3,977.1116
801470153,3,977.11633
801470184,3,977.119
801470215,3,977.12537
801470247,3,977.14514
801470278,3,977.11945
801470309,3,977.1638
801470340,3,977.1643
801470372,3,977.1707
801470403,3,977.1953
801470434,3,977.22675
801470465,3,977.21295
801470497,3,977.1707
801470528,3,977.1814
801470559,3,977.1883
801470590,3,977.1543
801470622,3,977.1473
801470653,3,977.151
801470684,3,977.1404
801470715,3,977.11536
801470747,3,977.12274
801470778,3,977.1398
801470809,3,977.12
801470840,3,977.15
801470872,3,977.12
801470903,3,977.15
801470934,3,977.12756
801470966,3,977.15
801470997,3,977.1836
801471028,3,977.1799
801471059,3,977.2376
801471090,3,977.26843
801471122,3,977.24927
801471153,3,977.21405
801471184,3,977.2472
801471215,3,977.2616
801471247,3,977.24927
801471278,3,977.2013
801471309,3,977.2084
801471340,3,977.2061
801471372,3,977.1458
801471403,3,977.1341
801471434,3,977.1554
801471466,3,977.0967
801471497,3,977.0855
801471528,3,977.06415
801471559,3,977.07697
801471590,3,977.0754
801471622,3,977.08234
801471653,3,977.0919
801471684,3,977.0909
801471715,3,977.10315
801471747,3,977.0957
801471778,3,977.1207
801471809,3,977.1319
801471840,3,977.1586
801471872,3,977.1543
801471903,3,977.1522
801471934,3,977.14746
801471965,3,977.14044
801471997,3,977.14044
801472028,3,977.15485
801472059,3,977.16656
801472090,3,977.1511
801472122,3,977.172
801472153,3,977.1773
801472184,3,977.1601
801472215,3,977.16656
801472247,3,977.15704
801472278,3,977.1634
801472309,3,977.1682
801472340,3,977.15485
801472372,3,977.1576
801472403,3,977.1539
801472434,3,977.172
801472465,3,977.1601
801472497,3,977.16284
801472528,3,977.16656
801472559,3,977.14954
